data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00279	0.82205	0.79905	0.743	0.75783	0.83595	0.71404	0.76056	0.84564	0.79612	0.85954	0.78609	0.84788	0.80957	0.94197	0.86944	1.0	0.85524	0.80014	0.95365	0.84535	0.71404	0.8881	0.79905	0.74133	0.77569	0.97087	0.80429	0.8956	0.71953	0.90561	0.85403	0.93644	0.62107	0.79872	0.87835	0.78908	0.86265	0.78908	0.88453	0.92368	0.96149	0.82157	0.89609	0.85683	0.92352	0.80727	0.85519	0.9028	0.91205	0.89674	0.84456	0.78908	0.83957	0.32536	
D00299	0.70298	0.5719	0.39214	0.53833	0.56893	0.38762	0.44893	0.80095	0.60381	0.66034	0.52429	0.92988	0.80024	0.84433	0.65556	0.20857	1.0	0.44083	0.3875	0.60012	0.38762	0.65321	0.5825	0.19929	0.4581	0.2981	0.24619	0.54286	0.25179	0.31179	0.25905	0.6797	0.14798	0.26048	0.85788	0.53631	0.58524	0.53631	0.5444	0.27012	0.35238	0.27607	0.70652	0.24798	0.59352	0.58321	0.63762	0.7587	0.29488	0.63837	0.26369	0.55821	0.51726	0.2356	
D00312	0.63115	0.5529	0.72652	0.64884	0.68243	0.30319	0.71072	0.57397	0.56638	0.67782	0.64899	0.60088	0.51507	0.83771	0.69089	0.23623	0.61357	1.0	0.31638	0.59845	0.30319	0.65202	0.5787	0.28594	0.71087	0.34261	0.29536	0.58067	0.29957	0.37609	0.35609	0.73	0.2171	0.29681	0.61341	0.65087	0.69687	0.65087	0.6864	0.31957	0.40216	0.33304	0.66935	0.26957	0.65121	0.56797	0.69062	0.7252	0.40466	0.67849	0.33087	0.61899	0.79014	0.21536	
D00316	0.67859	0.59635	0.39962	0.4995	0.67473	0.53712	0.42037	0.71974	0.61791	0.71287	0.56391	0.74363	0.66333	0.89	0.74222	0.50596	0.75702	0.55536	1.0	0.65268	0.54615	0.72417	0.5673	0.41846	0.46862	0.55788	0.46962	0.72307	0.36769	0.64158	0.53419	0.79832	0.35673	0.52404	0.73906	0.57446	0.70241	0.57446	0.6668	0.57614	0.74662	0.42462	0.74739	0.49365	0.74187	0.62773	0.69074	0.8055	0.68562	0.7664	0.48053	0.60138	0.59571	0.33904	
D00327	0.7591	0.77634	0.52451	0.72746	0.77811	0.37268	0.56732	0.68949	0.74676	0.82425	0.75479	0.67012	0.62634	0.90414	0.83744	0.25789	0.71881	0.52127	0.3931	1.0	0.37268	0.77488	0.80563	0.24437	0.60887	0.32901	0.23761	0.74547	0.30648	0.34648	0.27239	0.93584	0.1862	0.24944	0.734	0.7407	0.79675	0.7407	0.79427	0.32465	0.41297	0.33775	0.78272	0.27099	0.70659	0.78845	0.73938	0.9372	0.37849	0.9057	0.28296	0.68507	0.6662	0.2769	
D00348	0.73974	0.64476	0.4472	0.61717	0.73676	0.98043	0.4763	0.80936	0.65507	0.75299	0.65422	0.81363	0.75652	0.93911	0.79522	0.32191	0.81488	0.61246	0.63942	0.70056	1.0	0.7975	0.6127	0.32426	0.55241	0.43319	0.38149	0.72533	0.42298	0.58386	0.53548	0.83356	0.23702	0.42617	0.84824	0.65923	0.7853	0.65923	0.71307	0.53193	0.70946	0.50471	0.81435	0.41191	0.78714	0.66136	0.76802	0.8404	0.6163	0.79965	0.4886	0.672	0.65586	0.45043	
D00443	0.63619	0.58071	0.43619	0.50488	0.57905	0.37024	0.45155	0.5944	0.62357	0.67391	0.52464	0.61036	0.53762	0.8865	0.69944	0.24143	0.65321	0.48333	0.35464	0.62476	0.37024	1.0	0.57845	0.22119	0.47786	0.30798	0.20369	0.52631	0.27155	0.35131	0.26464	0.74634	0.15893	0.21667	0.62353	0.53214	0.6325	0.53214	0.56131	0.29738	0.37881	0.28595	0.92728	0.27869	0.60253	0.60298	0.72286	0.7266	0.34857	0.67942	0.28107	0.56929	0.48595	0.24262	
D00462	0.87359	0.85762	0.58841	0.78508	0.83811	0.36635	0.63524	0.74385	0.86493	0.96172	0.78578	0.7475	0.70522	0.9207	0.84289	0.26016	0.79357	0.63188	0.39794	0.91493	0.36635	0.8094	1.0	0.24492	0.64857	0.30508	0.22127	0.8008	0.27571	0.34825	0.28254	0.88515	0.20857	0.22429	0.79471	0.77369	0.84241	0.77369	0.81427	0.29413	0.47784	0.30524	0.81457	0.28952	0.75242	0.86318	0.82358	0.9053	0.43808	0.89209	0.33222	0.71292	0.72614	0.26698	
D00506	0.79192	0.75302	0.685	0.74167	0.81797	0.64851	0.70685	0.82974	0.75418	0.83782	0.76672	0.8105	0.76884	0.94866	0.84778	0.67667	0.82286	0.8342	0.82885	0.80451	0.64851	0.84476	0.75302	1.0	0.72569	0.87109	0.724	0.89973	0.73535	0.90982	0.88	0.92129	0.602	0.77385	0.84	0.78415	0.86096	0.78415	0.9144	0.89053	0.92473	0.91235	0.86652	0.71439	0.90571	0.76606	0.82395	0.8711	0.88616	0.85372	0.8114	0.78415	0.84014	0.35367	
D00554	0.72731	0.70857	0.84759	0.82317	0.895	0.36845	0.91431	0.74487	0.72478	0.79575	0.91187	0.72125	0.66928	0.90478	0.82833	0.27397	0.73357	0.78116	0.36828	0.78648	0.36845	0.76655	0.72556	0.25741	1.0	0.35948	0.36483	0.74293	0.33655	0.35224	0.41774	0.86218	0.25431	0.36655	0.76424	0.89785	0.82337	0.89785	0.9084	0.34724	0.49986	0.37638	0.80543	0.33103	0.80505	0.73621	0.78938	0.8049	0.53137	0.80744	0.35845	0.85538	0.92443	0.27328	
D00565	0.68167	0.57667	0.4782	0.51883	0.67946	0.45383	0.51537	0.72423	0.58567	0.73161	0.57078	0.72362	0.65348	0.89153	0.76456	0.61239	0.7369	0.65478	0.68846	0.67056	0.45383	0.74679	0.56683	0.5337	0.56017	1.0	0.65739	0.7436	0.5637	0.74298	0.76065	0.84891	0.44065	0.64348	0.77118	0.57708	0.74747	0.57708	0.74213	0.84456	0.90541	0.6698	0.76707	0.63652	0.78813	0.595	0.69852	0.8144	0.83644	0.75767	0.71386	0.57985	0.68857	0.26196	
D00577	0.73897	0.66397	0.6686	0.64533	0.75473	0.62915	0.69167	0.78269	0.68284	0.77655	0.70063	0.80363	0.73681	0.94229	0.80178	0.61029	0.81202	0.76087	0.78673	0.72944	0.62915	0.76952	0.65238	0.58543	0.74948	0.88935	1.0	0.82027	0.64349	0.87298	0.88016	0.87762	0.52257	0.9459	0.82271	0.70492	0.77783	0.70492	0.82387	0.87772	0.9	0.73412	0.78783	0.75951	0.85527	0.6797	0.74346	0.8398	0.86356	0.80209	0.84702	0.69354	0.77714	0.31486	
D00585	0.69423	0.686	0.4796	0.62027	0.7136	0.3632	0.50787	0.59833	0.658	0.71115	0.6632	0.60825	0.54227	0.84376	0.75656	0.3008	0.64679	0.50307	0.4256	0.73253	0.3632	0.63024	0.6844	0.32	0.56187	0.36853	0.30293	1.0	0.2996	0.39107	0.3284	0.85901	0.26027	0.30427	0.65282	0.67667	0.69434	0.67667	0.73867	0.3796	0.45267	0.368	0.68065	0.29467	0.68033	0.6852	0.62309	0.7966	0.37667	0.82756	0.31893	0.624	0.582	0.25	
D00586	0.69269	0.59032	0.4788	0.5515	0.69203	0.50553	0.53296	0.72692	0.61358	0.75414	0.5825	0.72175	0.66594	0.90873	0.76989	0.38116	0.72524	0.65261	0.53558	0.68901	0.50553	0.745	0.58365	0.41953	0.58741	0.62696	0.46302	0.71347	1.0	0.61281	0.64323	0.80545	0.40372	0.48674	0.74565	0.58862	0.74	0.58862	0.65067	0.76474	0.76541	0.99686	0.76543	0.50302	0.77418	0.60803	0.69963	0.8138	0.76123	0.76012	0.59193	0.59692	0.68486	0.25814	
D00596	0.55615	0.4581	0.35281	0.383	0.57446	0.41368	0.34474	0.5809	0.47687	0.63172	0.42938	0.60238	0.5129	0.8507	0.66078	0.39474	0.62357	0.54478	0.52246	0.53775	0.41368	0.6631	0.44063	0.46474	0.36897	0.55579	0.4986	0.62733	0.37456	1.0	0.56097	0.75198	0.3407	0.51789	0.65176	0.43785	0.62928	0.43785	0.6448	0.53579	0.81892	0.42807	0.70685	0.43667	0.69341	0.48182	0.61481	0.7284	0.73479	0.64558	0.45649	0.43062	0.56414	0.27789	
D00627	0.43949	0.28333	0.32661	0.26661	0.43662	0.30081	0.325	0.49154	0.32761	0.50287	0.30406	0.48525	0.39043	0.79809	0.53744	0.3221	0.5131	0.45449	0.37774	0.39535	0.30081	0.51869	0.29794	0.37935	0.35516	0.51032	0.45774	0.49653	0.36161	0.47097	1.0	0.63921	0.28597	0.45935	0.52412	0.32862	0.50313	0.32862	0.50253	0.49468	0.63284	0.39742	0.55467	0.44968	0.59143	0.31636	0.48914	0.6062	0.64068	0.51116	0.57048	0.33585	0.43314	0.19694	
D00690	0.51792	0.5402	0.3799	0.52257	0.59248	0.31495	0.40911	0.49792	0.51941	0.57812	0.55356	0.51396	0.44327	0.8442	0.72198	0.23535	0.51228	0.41406	0.32772	0.64772	0.31495	0.57941	0.5202	0.23941	0.44921	0.32069	0.24376	0.60139	0.24842	0.32941	0.26465	1.0	0.17317	0.24564	0.52653	0.54426	0.65069	0.54426	0.62139	0.31119	0.37248	0.27683	0.61337	0.24257	0.52713	0.5505	0.56376	0.64465	0.3296	0.71653	0.2501	0.50426	0.48505	0.21356	
D00730	0.87923	0.85524	0.856	0.83367	0.88622	0.77362	0.86519	0.87923	0.84896	0.8992	0.85719	0.87025	0.85275	0.97096	0.90289	0.88929	0.87548	0.87942	0.935	0.8693	0.77362	0.88643	0.85524	0.893	0.8731	0.94913	0.91057	0.95867	0.9	0.93895	0.92742	0.9295	1.0	0.92	0.88753	0.85908	0.87313	0.85908	0.92187	0.97123	0.92351	0.93059	0.89457	0.91805	0.93407	0.86091	0.85914	0.9014	0.96055	0.8886	0.93895	0.84492	0.90586	0.38762	
D00898	0.69051	0.61016	0.593	0.59167	0.7073	0.58979	0.62167	0.74833	0.64164	0.73517	0.65031	0.77013	0.68333	0.91994	0.771	0.52513	0.78012	0.70609	0.74942	0.68662	0.58979	0.73631	0.59381	0.55	0.68431	0.79109	0.84615	0.76987	0.57698	0.80719	0.81919	0.84109	0.47231	1.0	0.78035	0.65538	0.74229	0.65538	0.77467	0.8114	0.86257	0.66176	0.75848	0.66512	0.82385	0.63379	0.70593	0.8029	0.81178	0.76988	0.7807	0.63677	0.72314	0.28359	
D00930	0.63859	0.52541	0.38671	0.52059	0.59729	0.41459	0.43224	0.88282	0.55588	0.65414	0.53259	0.77859	0.73259	0.86548	0.60989	0.22788	0.81435	0.44153	0.36247	0.57424	0.41459	0.61212	0.54365	0.21235	0.45612	0.32612	0.25212	0.53871	0.26729	0.33224	0.26165	0.6802	0.16482	0.26388	1.0	0.52082	0.60918	0.52082	0.55165	0.29847	0.38082	0.30329	0.64891	0.25282	0.6189	0.53659	0.57612	0.7167	0.29812	0.60756	0.26388	0.54118	0.49871	0.24082	
D00950	0.75987	0.80277	0.67231	0.89262	0.94405	0.39062	0.73185	0.72667	0.77731	0.80264	0.98462	0.72537	0.65638	0.90624	0.88822	0.23692	0.74417	0.7071	0.38046	0.83634	0.39062	0.75155	0.75877	0.26185	0.80831	0.306	0.25723	0.79307	0.27277	0.31846	0.28385	0.89901	0.20246	0.26738	0.76047	1.0	0.83494	1.0	0.97027	0.29569	0.4323	0.31431	0.78435	0.26815	0.76484	0.82152	0.76469	0.8413	0.39959	0.88326	0.29677	0.93785	0.81986	0.30031	
D00951	0.57831	0.5847	0.46012	0.58723	0.69446	0.36458	0.48458	0.59373	0.59265	0.62736	0.62494	0.56566	0.55831	0.87051	0.69822	0.24157	0.56345	0.51169	0.35422	0.65651	0.36458	0.6325	0.60867	0.24157	0.5312	0.31506	0.21687	0.58012	0.27253	0.32542	0.25771	0.82356	0.17	0.22807	0.632	0.61289	1.0	0.61289	0.65988	0.30193	0.38108	0.32253	0.65848	0.26602	0.62582	0.60831	0.64446	0.686	0.30614	0.69372	0.29325	0.5753	0.58024	0.24855	
D00954	0.75987	0.80277	0.67231	0.89262	0.94405	0.39062	0.73185	0.72667	0.77731	0.80264	0.98462	0.72537	0.65638	0.90624	0.88822	0.23692	0.74417	0.7071	0.38046	0.83634	0.39062	0.75155	0.75877	0.26185	0.80831	0.306	0.25723	0.79307	0.27277	0.31846	0.28385	0.89901	0.20246	0.26738	0.76047	1.0	0.83494	1.0	0.97027	0.29569	0.4323	0.31431	0.78435	0.26815	0.76484	0.82152	0.76469	0.8413	0.39959	0.88326	0.29677	0.93785	0.81986	0.30031	
D00956	0.62	0.67053	0.5964	0.78853	0.83987	0.35093	0.6492	0.61282	0.64253	0.68897	0.84133	0.61388	0.56893	0.88994	0.79044	0.27667	0.63452	0.5312	0.36933	0.74253	0.35093	0.66524	0.65907	0.3324	0.68853	0.378	0.30653	0.69987	0.24413	0.412	0.3344	0.87109	0.24093	0.30907	0.66576	0.828	0.75337	0.828	1.0	0.3396	0.42453	0.31093	0.69261	0.2768	0.76615	0.6844	0.66309	0.7634	0.3452	0.75919	0.29533	0.77413	0.71347	0.26267	
D00961	0.51128	0.39238	0.31228	0.31983	0.53176	0.36175	0.31561	0.57487	0.41373	0.61057	0.40625	0.562	0.46609	0.84019	0.65033	0.43018	0.5819	0.4758	0.49105	0.51592	0.36175	0.60917	0.38651	0.43105	0.36397	0.65737	0.50333	0.59813	0.52649	0.53579	0.57161	0.71911	0.3586	0.50509	0.618	0.41508	0.60169	0.41508	0.5724	1.0	0.72338	0.58316	0.6475	0.52211	0.66527	0.42364	0.54691	0.7201	0.7337	0.63942	0.55667	0.40092	0.50771	0.16491	
D00962	0.39192	0.34608	0.28608	0.31081	0.38405	0.34311	0.285	0.44859	0.34595	0.4854	0.31459	0.44	0.38027	0.80452	0.51322	0.37135	0.46786	0.33662	0.4473	0.37365	0.35554	0.49429	0.33365	0.36027	0.30122	0.53838	0.40108	0.4656	0.35905	0.59608	0.48784	0.63178	0.2777	0.40486	0.50635	0.31432	0.48627	0.31432	0.43747	0.52459	1.0	0.40378	0.5388	0.39041	0.56198	0.35135	0.43469	0.6012	0.59162	0.50477	0.40635	0.32054	0.39757	0.22878	
D00965	0.62051	0.49079	0.38216	0.47	0.62473	0.42863	0.43204	0.66654	0.52806	0.68632	0.51625	0.65025	0.57232	0.88688	0.70433	0.38412	0.65714	0.56029	0.44327	0.61099	0.42863	0.67536	0.49	0.49392	0.49345	0.57471	0.4298	0.66653	0.84471	0.53018	0.55387	0.75703	0.36	0.43353	0.69129	0.50831	0.69651	0.50831	0.62133	0.68526	0.70419	1.0	0.70228	0.42569	0.75374	0.51848	0.61975	0.7667	0.68041	0.68291	0.48018	0.50785	0.61243	0.23725	
D01115	0.58565	0.52717	0.40196	0.46467	0.56337	0.33989	0.43402	0.55348	0.5712	0.63446	0.4887	0.57913	0.50076	0.86994	0.63087	0.2213	0.62217	0.42902	0.32565	0.5613	0.33989	0.84293	0.52989	0.21283	0.46804	0.28207	0.18685	0.50141	0.2488	0.34837	0.23837	0.70337	0.14598	0.19967	0.57587	0.49967	0.58141	0.49967	0.52217	0.27848	0.35957	0.27	1.0	0.26859	0.56359	0.54848	0.65989	0.6771	0.32793	0.63522	0.28261	0.54163	0.44837	0.22239	
D01132	0.71346	0.66159	0.5314	0.5785	0.69541	0.53574	0.56963	0.7359	0.6806	0.76529	0.62078	0.73162	0.67739	0.9079	0.751	0.54927	0.74452	0.65754	0.69885	0.68085	0.53574	0.77726	0.62825	0.45415	0.61534	0.72087	0.61756	0.72493	0.54814	0.72789	0.77823	0.81881	0.40488	0.6178	0.75494	0.62631	0.73952	0.62631	0.71653	0.79439	0.7773	0.61588	0.81685	1.0	0.79297	0.67606	0.75728	0.8401	0.79603	0.77791	0.77509	0.62769	0.69871	0.29268	
D01161	0.53231	0.44989	0.39538	0.44549	0.52725	0.31813	0.41989	0.50912	0.45308	0.55352	0.48802	0.51681	0.48692	0.80306	0.53857	0.2589	0.5189	0.4111	0.32615	0.49341	0.31813	0.51725	0.45396	0.26352	0.4533	0.31747	0.25835	0.50978	0.28879	0.33099	0.28231	0.62317	0.21484	0.26956	0.55495	0.47703	0.54055	0.47703	0.5956	0.32714	0.38077	0.32736	0.55304	0.26	1.0	0.45121	0.52604	0.6221	0.33044	0.51231	0.2644	0.47703	0.45956	0.22725	
D01217	0.90859	0.955	0.57591	0.79288	0.82392	0.38212	0.62061	0.73538	0.92433	0.84805	0.79167	0.74488	0.65145	0.90344	0.85778	0.24879	0.79107	0.61014	0.40727	0.87042	0.38212	0.81083	0.83379	0.23697	0.63333	0.29439	0.21879	0.8016	0.265	0.34955	0.25758	0.89564	0.19955	0.23697	0.75341	0.80682	0.81867	0.80682	0.81373	0.29136	0.45622	0.28727	0.82261	0.29394	0.71165	1.0	0.87272	0.916	0.43767	0.93802	0.29955	0.74561	0.70986	0.26924	
D01294	0.70481	0.66889	0.49383	0.54926	0.61037	0.36086	0.48037	0.60593	0.73025	0.77908	0.56074	0.65642	0.60815	0.87146	0.69056	0.21037	0.67226	0.54827	0.33148	0.6316	0.36086	0.7575	0.62	0.21321	0.52593	0.27938	0.19259	0.55123	0.2358	0.32741	0.2616	0.76485	0.15506	0.20296	0.62588	0.57309	0.67952	0.57309	0.60321	0.25951	0.35086	0.25173	0.77587	0.2663	0.6433	0.69309	1.0	0.7583	0.33593	0.7236	0.27086	0.57309	0.54679	0.25531	
D01387	0.6545	0.5953	0.3846	0.5278	0.5901	0.3263	0.4141	0.5415	0.5743	0.6379	0.5472	0.5749	0.5257	0.78955	0.6547	0.2044	0.6035	0.4245	0.3399	0.6836	0.3263	0.5714	0.5464	0.1921	0.4436	0.2906	0.2093	0.5541	0.2609	0.3113	0.2376	0.67891	0.1419	0.2112	0.5712	0.5572	0.5341	0.5572	0.567	0.303	0.349	0.2914	0.6092	0.2678	0.5387	0.6039	0.574	1.0	0.3198	0.7227	0.2507	0.5388	0.4843	0.2171	
D01441	0.37064	0.34301	0.31027	0.26329	0.31676	0.27082	0.30918	0.3859	0.32808	0.47885	0.29233	0.394	0.32384	0.76605	0.46589	0.31411	0.4219	0.35151	0.40658	0.35192	0.27082	0.4756	0.30521	0.31479	0.33205	0.47767	0.35863	0.40253	0.3626	0.51096	0.49452	0.59851	0.26959	0.36	0.43506	0.29329	0.42301	0.29329	0.37107	0.5211	0.59243	0.38808	0.52826	0.37082	0.52231	0.34466	0.43173	0.5817	1.0	0.51035	0.43288	0.27178	0.39425	0.14356	
